palabra,frec_norm
de,0.06554555467171126
la,0.041148598580946376
que,0.030688852616561117
el,0.02995348125746608
en,0.027755167477161214
y,0.027401191311171847
a,0.02137503582728842
los,0.01716495990706346
se,0.01325731919891553
del,0.012173871058101896
las,0.01105637036030306
un,0.010879952551121213
por,0.010238079877846563
con,0.009711743368079352
no,0.009606183718860935
una,0.0088333643793893
su,0.0072340675230676095
para,0.006962269779970141
es,0.006683799177775285
al,0.006234036675842744
lo,0.0056827785449672106
como,0.005069963616661838
más,0.004337332193817008
o,0.0035546018887704658
pero,0.002953048229550863
sus,0.002948840002104376
le,0.0027087416171552104
ha,0.002493073237958469
me,0.002453934100757577
si,0.002146589289992978
sin,0.0019558621965187943
sobre,0.00189897246753428
este,0.0018711601481332767
ya,0.0017971949791205715
entre,0.0017533822186029428
cuando,0.001686384877901165
todo,0.0016212818950374472
esta,0.0015655720429070866
ser,0.0015267868687624418
son,0.0015234504392137474
dos,0.001497388270479742
también,0.0014906498626682336
fue,0.0014669212281568909
había,0.0014645549195771686
era,0.0014416325342494981
muy,0.0013669528842528875
años,0.0013308158781586794
hasta,0.001330212829988778
desde,0.001302105541374237
está,0.001272746272320009
mi,0.0012215658363353224
porque,0.0012172396212034198
qué,0.0012123627968729119
sólo,0.0011179464290548503
han,0.0011124796662972647
yo,0.0010991470578453114
hay,0.001081160490690857
vez,0.0010719705609712703
puede,0.0010567698141669046
todos,0.0010367709014889744
así,0.0010202329609165662
nos,0.0010121508044656034
ni,0.0010058515730386967
parte,0.0009750371225310107
tiene,0.0009653621323269387
él,0.0009116515159772304
uno,0.0008915936094565924
donde,0.0008657477514791821
bien,0.0008584062954977721
tiempo,0.0008580064483416418
mismo,0.0008570232176298457
ese,0.0008388662238186801
ahora,0.0008236916964999622
cada,0.0008164616733325557
e,0.00081102768493203
vida,0.0008094676255359802
otro,0.0007995828794467247
después,0.0007980293749220872
te,0.0007869254227502046
otros,0.0007833071337307954
aunque,0.0007574547208819731
esa,0.00075628139889923
eso,0.0007506835387134049
hace,0.0007505786607708133
otra,0.0007471373532795272
gobierno,0.0007407725731385014
tan,0.0007372329425760359
durante,0.0007342766955692363
siempre,0.0007312417901054924
día,0.0007270728918874772
tanto,0.0007254866130057798
ella,0.0007250998755924735
tres,0.0007180337242103665
sí,0.0007120622363540589
dijo,0.0007110134569281431
sido,0.0007036785558181452
gran,0.0007013122472384227
país,0.0006854297938072117
según,0.0006830438206132536
menos,0.0006784160813964005
mundo,0.0006669253918112115
año,0.0006606654896127771
antes,0.0006604753983418299
estado,0.000660449178856182
contra,0.0006581287543763433
sino,0.000643327854728108
forma,0.0006369040807443744
caso,0.0006356848746617473
nada,0.0006314963118294964
hacer,0.0006296806124483799
general,0.0006277469253818479
estaba,0.0006135818482605737
poco,0.0006043919185409872
estos,0.000599102137311525
presidente,0.0005987875034837503
mayor,0.000591026535731974
ante,0.0005767631355395204
unos,0.0005686154303744378
les,0.0005660983597522403
algo,0.0005637123865582818
hacia,0.0005579637643299813
casa,0.0005575835817880868
ellos,0.0005547780968237624
ayer,0.000552641208743459
hecho,0.0005499406017217262
primera,0.0005468598121580987
mucho,0.0005456274963326479
mientras,0.0005416290247713441
además,0.0005412750617150977
quien,0.0005411374094154461
momento,0.0005383646988081815
millones,0.0005374929009103889
esto,0.0005373618034821496
españa,0.0005256679128831895
hombre,0.0005253860534124746
están,0.0005233671530175868
pues,0.0005220430689923684
hoy,0.0005144197535402435
lugar,0.0005129186879869016
madrid,0.0005102115260937567
nacional,0.0005082712841558126
trabajo,0.0005078583272568583
otras,0.0005075305836862597
mejor,0.0005067898832167066
nuevo,0.0005064424750318722
decir,0.0005038533008241427
algunos,0.0004988715985510432
entonces,0.0004962430951148418
todas,0.0004950042244179788
días,0.0004925592573813129
debe,0.0004865615500393574
política,0.00048154707340919786
cómo,0.0004791611002152397
casi,0.0004782761925746233
toda,0.00047357634977223865
tal,0.0004681423613717128
luego,0.0004622626417151729
pasado,0.00046201355660151786
primer,0.000458303499382341
medio,0.00045407560732161836
va,0.0004529285048245231
estas,0.0004527515232963998
sea,0.0004517682925846038
tenía,0.0004397859876435168
nunca,0.0004387765374460729
poder,0.000438520897461006
aquí,0.0004380030626194601
ver,0.0004357612965965654
veces,0.0004355122114829103
embargo,0.000433381878274019
partido,0.0004292916385129477
personas,0.0004287541390571658
grupo,0.0004286230416289264
cuenta,0.00042847883445786304
pueden,0.0004187841796395547
tienen,0.0004172306751149169
misma,0.00041598524954664215
nueva,0.0004157558290472232
cual,0.0004084274828086371
fueron,0.0004078440992529713
mujer,0.00040598251577197113
frente,0.0004029213908225796
josé,0.00040037154584332205
tras,0.00039371179648875726
cosas,0.0003905392387253623
fin,0.0003874453394189109
ciudad,0.0003870586020056045
he,0.00038650799280699874
social,0.0003833550996578397
manera,0.000381060894663649
tener,0.00038037263316539183
sistema,0.00037893711632616965
será,0.0003789240065833458
historia,0.0003788125737693421
muchos,0.00037705586823093344
juan,0.000374964864250514
tipo,0.000371045051146154
cuatro,0.00037080907577532297
dentro,0.0003707763014182632
nuestro,0.000369085144593974
punto,0.0003687705107661994
dice,0.00036873118153772747
ello,0.0003655520689029205
cualquier,0.00036288423623824734
noche,0.0003623598465252895
aún,0.00035895131339106347
agua,0.00035856457597775704
parece,0.000357594455008785
haber,0.00035494628695834784
situación,0.00035409415367479137
fuera,0.00035382540394690045
bajo,0.0003490010185876882
grandes,0.0003432261768737398
nuestra,0.00034295742714584893
ejemplo,0.00033956200375444685
acuerdo,0.0003374775546454393
habían,0.0003303458545492125
usted,0.0003282220762117332
estados,0.0003265243645160321
hizo,0.0003259934199316623
nadie,0.0003257050055895355
países,0.00032410561696501406
horas,0.00032373854416594354
posible,0.0003217261986424677
tarde,0.00032094616894444303
ley,0.0003208281812590273
importante,0.0003172361117252661
guerra,0.00031719678249679436
desarrollo,0.00031711156916843864
proceso,0.0003150533395450791
realidad,0.00031233962278052216
sentido,0.00031174312948203264
lado,0.00031014374085751116
mí,0.00030970456447290895
tu,0.00030845258403322214
cambio,0.00030685975028011265
allí,0.0003065778908093977
mano,0.0003058306354684328
eran,0.00030392972275896063
estar,0.00030337255868894287
san,0.0003015503044364143
número,0.00030142576187958684
sociedad,0.0003013536582940552
unas,0.0002986727158865581
centro,0.00029795823490265296
padre,0.0002965161631920189
gente,0.00029650960832060686
final,0.0002944448238258353
relación,0.0002924586977880075
cuerpo,0.00029149513169044746
obra,0.00029043324252170784
incluso,0.00029028248047923235
través,0.0002898039748661584
último,0.0002889780610682497
madre,0.00028642821608899216
mis,0.00028555641819119973
modo,0.00028499269924977004
problemas,0.00028379315778137896
cinco,0.00028371449932443533
carlos,0.00028077136206045933
hombres,0.0002788704493509871
información,0.0002780773099101384
ojos,0.00027773645659671573
muerte,0.00027753981045435655
nombre,0.000277166182783874
algunas,0.0002767663356277437
público,0.0002766221284566803
mujeres,0.00027592075721559917
siglo,0.00027458356344755663
todavía,0.0002739411860491833
meses,0.00027301039430868305
mañana,0.00027116192057050667
esos,0.0002699558242307036
nosotros,0.000267897594607344
hora,0.00026600323676928377
muchas,0.0002659049136981041
pueblo,0.000264980676829016
alguna,0.0002648561342721884
dar,0.0002647905855580687
problema,0.00026412854354545943
don,0.00026366314767520933
da,0.0002634468369186142
tú,0.0002629748861769521
derecho,0.00026179500932279703
verdad,0.0002616966862516174
maría,0.0002609625406534764
unidos,0.00026092321142500455
podría,0.00026086421758229677
sería,0.00026043159606910655
junto,0.0002590550730725922
cabeza,0.00025859623207375403
aquel,0.000258111171589268
luis,0.00025806528748938416
cuanto,0.00025248709191779507
tierra,0.0002513924283919955
equipo,0.00025048785613714314
segundo,0.00025013389308089666
director,0.0002497143813105304
dicho,0.00024957017413946696
cierto,0.00024894746135532955
casos,0.0002477479198869384
manos,0.00024735462760222006
nivel,0.00024527673336462456
podía,0.000245171855422033
familia,0.00024499487389390966
largo,0.0002445950267377793
partir,0.00024435249649553645
falta,0.0002438149970397545
llegar,0.00024288420529925434
propio,0.00024239258994335634
ministro,0.00023818436249686958
cosa,0.00023772552149803144
primero,0.0002374961009986124
seguridad,0.00023632933388728115
hemos,0.00023589671237409093
mal,0.00023573939546020362
trata,0.00023429732374956943
algún,0.00023311744689541425
tuvo,0.00023263238641092827
respecto,0.00023200311875537887
semana,0.0002317409238989
varios,0.0002314852839138329
real,0.00023087568087251943
sé,0.00023042994961650526
voz,0.0002293025117336459
paso,0.0002289026645775156
señor,0.000228797786634924
mil,0.00022833239076467383
quienes,0.00022773589746618442
proyecto,0.00022755891593806104
mercado,0.0002273032759529941
mayoría,0.00022702141648227919
luz,0.00022690998366827568
claro,0.00022672644726874042
iba,0.00022535647914363803
éste,0.0002250811745443352
pesetas,0.00022420282177513075
orden,0.0002227476403216727
español,0.00022234123829413042
buena,0.00022128590399680267
quiere,0.00022112858708291534
aquella,0.00022104992862597168
programa,0.00022037477687053843
palabras,0.00021948986922992205
